block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,1000,336186,336.186,0
1,1000,1000,335568,335.568,0
2,2000,1000,335394,335.394,0
3,3000,1000,335496,335.496,0
4,4000,1000,335544,335.544,0
5,5000,1000,338706,338.706,0
6,6000,1000,335544,335.544,0
7,7000,1000,338604,338.604,0
8,8000,1000,335466,335.466,0
9,9000,1000,335466,335.466,0
10,10000,1000,335430,335.430,0
11,11000,1000,335532,335.532,0
12,12000,1000,335448,335.448,0
13,13000,1000,335472,335.472,0
14,14000,1000,338694,338.694,0
15,15000,1000,335472,335.472,0
16,16000,1000,10367850,10367.850,0
17,17000,1000,335706,335.706,0
18,18000,1000,335526,335.526,0
19,19000,1000,335478,335.478,0
20,20000,1000,335448,335.448,0
21,21000,1000,335472,335.472,0
22,22000,1000,335472,335.472,0
23,23000,1000,335442,335.442,0
24,24000,1000,335532,335.532,0
25,25000,1000,335472,335.472,0
26,26000,1000,335502,335.502,0
27,27000,1000,335466,335.466,0
28,28000,1000,338664,338.664,0
29,29000,1000,335514,335.514,0
30,30000,1000,335532,335.532,0
31,31000,1000,335460,335.460,0
32,32000,1000,336234,336.234,0
33,33000,1000,335682,335.682,0
34,34000,1000,335526,335.526,0
35,35000,1000,335508,335.508,0
36,36000,1000,335526,335.526,0
37,37000,1000,335502,335.502,0
38,38000,1000,335520,335.520,0
39,39000,1000,335484,335.484,0
40,40000,1000,335520,335.520,0
41,41000,1000,335424,335.424,0
42,42000,1000,335508,335.508,0
43,43000,1000,338700,338.700,0
44,44000,1000,10393650,10393.650,0
45,45000,1000,335856,335.856,0
46,46000,1000,338676,338.676,0
47,47000,1000,335436,335.436,0
48,48000,1000,335478,335.478,0
49,49000,1000,335448,335.448,0
50,50000,1000,338610,338.610,0
51,51000,1000,335496,335.496,0
52,52000,1000,335430,335.430,0
53,53000,1000,335490,335.490,0
54,54000,1000,335454,335.454,0
55,55000,1000,335514,335.514,0
56,56000,1000,335430,335.430,0
57,57000,1000,335472,335.472,0
58,58000,1000,335580,335.580,0
59,59000,1000,335406,335.406,0
60,60000,1000,335496,335.496,0
61,61000,1000,335442,335.442,0
62,62000,1000,335454,335.454,0
63,63000,1000,335490,335.490,0
64,64000,1000,335538,335.538,0
65,65000,1000,335856,335.856,0
66,66000,1000,335556,335.556,0
67,67000,1000,335496,335.496,0
68,68000,1000,335406,335.406,0
69,69000,1000,335496,335.496,0
70,70000,1000,335460,335.460,0
71,71000,1000,338664,338.664,0
72,72000,1000,335526,335.526,0
73,73000,1000,10362654,10362.654,0
74,74000,1000,335640,335.640,0
75,75000,1000,335568,335.568,0
76,76000,1000,335472,335.472,0
77,77000,1000,338694,338.694,0
78,78000,1000,335466,335.466,0
79,79000,1000,335490,335.490,0
80,80000,1000,335448,335.448,0
81,81000,1000,335496,335.496,0
82,82000,1000,335502,335.502,0
83,83000,1000,335448,335.448,0
84,84000,1000,338580,338.580,0
85,85000,1000,335496,335.496,0
86,86000,1000,335412,335.412,0
87,87000,1000,335484,335.484,0
88,88000,1000,335520,335.520,0
89,89000,1000,335478,335.478,0
90,90000,1000,335406,335.406,0
91,91000,1000,335532,335.532,0
92,92000,1000,335484,335.484,0
93,93000,1000,335484,335.484,0
94,94000,1000,338598,338.598,0
95,95000,1000,335562,335.562,0
96,96000,1000,335442,335.442,0
97,97000,1000,335412,335.412,0
98,98000,1000,335964,335.964,0
99,99000,1000,335544,335.544,0
